problem, astar_time, bfs_time, astar_actions, bfs_actions
01, 0.031, 0.034, 12, 10
02, 0.031, 0.059, 8, 8
03, 0.047, 0.083, 11, 11
04, 0.031, 0.075, 8, 8
05, 0.11, 0.145, 23, 22
06, 0.203, 0.245, 38, 37
07, 0.109, 0.124, 18, 18
08, 0.234, 0.253, 27, 27
09, 0.375, 0.451, 33, 33
10, 0.484, 0.513, 37, 37
11, 0.484, 0.523, 38, 38
12, 0.25, 0.25, 19, 19
13, 1.391, 1.547, 45, 45
14, 0.578, 0.562, 32, 28
15, 1.641, 1.728, 43, 43
16, 1.282, 1.423, 44, 44
17, 5.891, 6.319, 51, 51
18, 12.328, 17.759, 43, 43
19, 102.015, 97.735, 77, 73
20, 431.625, 478.261, 96, 94